Portland Trail Blazers,Moda Center,Seattle Supersonics,173.8
Sacramento Kings,Golden 1 Center,Seattle Supersonics,752.4
Seattle Supersonics,Seattle Stadium,Portland Trail Blazers,173.8
Seattle Supersonics,Seattle Stadium,Sacramento Kings,752.4
